AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,"864,970",2.1,,,,,73.79,"153,470",0.4,31.12,46.06,64.37,90.40,#,"64,730","95,790","133,880","188,040",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,"328,570",1.1,,,,,76.10,"158,280",0.6,36.92,49.55,67.33,95.45,#,"76,790","103,060","140,040","198,530",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,"536,390",2.8,,,,,72.37,"150,530",0.4,29.34,42.26,62.79,86.72,#,"61,040","87,910","130,600","180,390",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,broad,"90,510",1.5,,,,,68.56,"142,610",0.7,32.45,43.51,60.40,82.13,111.29,"67,500","90,500","125,620","170,820","231,480",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,"64,280",1.4,,,,,72.13,"150,030",0.8,34.48,46.29,62.23,85.18,#,"71,710","96,280","129,430","177,170",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,"26,240",2.7,,,,,59.83,"124,450",1.3,30.44,38.62,51.63,74.57,98.67,"63,320","80,330","107,390","155,100","205,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,"2,322,010",1.2,,,,,71.25,"148,190",0.4,35.24,46.91,62.96,83.07,111.20,"73,290","97,570","130,950","172,780","231,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,broad,"353,550",1.5,,,,,54.06,"112,440",0.3,28.44,37.14,48.98,63.86,83.31,"59,150","77,260","101,870","132,830","173,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,"236,570",2.1,,,,,55.59,"115,640",0.4,28.40,37.73,49.68,65.00,85.99,"59,070","78,490","103,330","135,200","178,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,"116,980",0.6,,,,,50.95,"105,970",0.4,28.50,36.15,47.61,61.82,78.88,"59,280","75,190","99,030","128,590","164,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3020,Computer and Information Systems Managers,broad,"533,220",1.2,,,,,83.49,"173,670",0.4,46.84,61.14,78.88,99.93,#,"97,430","127,180","164,070","207,850",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,"533,220",1.2,,,,,83.49,"173,670",0.4,46.84,61.14,78.88,99.93,#,"97,430","127,180","164,070","207,850",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,"740,780",1.2,,,,,79.83,"166,050",0.5,38.00,50.07,67.21,97.94,#,"79,050","104,150","139,790","203,720",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,"740,780",1.2,,,,,79.83,"166,050",0.5,38.00,50.07,67.21,97.94,#,"79,050","104,150","139,790","203,720",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3050,Industrial Production Managers,broad,"211,710",0.6,,,,,58.13,"120,900",0.4,32.56,41.03,51.71,67.03,85.80,"67,720","85,350","107,560","139,430","178,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,"211,710",0.6,,,,,58.13,"120,900",0.4,32.56,41.03,51.71,67.03,85.80,"67,720","85,350","107,560","139,430","178,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3060,Purchasing Managers,broad,"75,070",1.4,,,,,67.62,"140,650",0.4,38.46,48.94,63.15,80.28,100.96,"80,000","101,790","131,350","166,980","210,000",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,"75,070",1.4,,,,,67.62,"140,650",0.4,38.46,48.94,63.15,80.28,100.96,"80,000","101,790","131,350","166,980","210,000",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3070,"Transportation, Storage, and Distribution Managers",broad,"169,910",1.1,,,,,52.36,"108,910",0.5,27.78,36.37,47.39,62.62,81.28,"57,780","75,640","98,560","130,240","169,070",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"169,910",1.1,,,,,52.36,"108,910",0.5,27.78,36.37,47.39,62.62,81.28,"57,780","75,640","98,560","130,240","169,070",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3110,Compensation and Benefits Managers,broad,"16,850",2.2,,,,,68.82,"143,140",0.7,37.13,47.72,63.11,82.94,104.64,"77,230","99,270","131,280","172,520","217,650",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,"16,850",2.2,,,,,68.82,"143,140",0.7,37.13,47.72,63.11,82.94,104.64,"77,230","99,270","131,280","172,520","217,650",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3120,Human Resources Managers,broad,"181,360",1.7,,,,,70.07,"145,750",0.4,36.83,47.23,62.50,82.29,107.87,"76,610","98,230","130,000","171,170","224,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,"181,360",1.7,,,,,70.07,"145,750",0.4,36.83,47.23,62.50,82.29,107.87,"76,610","98,230","130,000","171,170","224,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3130,Training and Development Managers,broad,"39,550",1.0,,,,,63.51,"132,100",0.8,32.91,42.64,57.69,77.71,101.19,"68,450","88,680","120,000","161,630","210,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,"39,550",1.0,,,,,63.51,"132,100",0.8,32.91,42.64,57.69,77.71,101.19,"68,450","88,680","120,000","161,630","210,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9000,Other Management Occupations,minor,"2,942,420",0.6,,,,,54.53,"113,420",0.3,23.48,32.33,47.95,65.12,88.84,"48,840","67,250","99,740","135,450","184,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"6,250",4.0,,,,,40.29,"83,790",2.5,18.00,25.56,36.42,49.58,66.85,"37,440","53,160","75,760","103,130","139,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"6,250",4.0,,,,,40.29,"83,790",2.5,18.00,25.56,36.42,49.58,66.85,"37,440","53,160","75,760","103,130","139,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9020,Construction Managers,broad,"303,220",1.9,,,,,54.22,"112,790",0.6,29.91,37.96,48.79,63.11,80.96,"62,210","78,950","101,480","131,280","168,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,"303,220",1.9,,,,,54.22,"112,790",0.6,29.91,37.96,48.79,63.11,80.96,"62,210","78,950","101,480","131,280","168,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9030,Education and Childcare Administrators,broad,"563,170",0.4,,,,,49.70,"103,370",0.4,24.43,35.63,47.08,61.35,78.44,"50,820","74,120","97,920","127,610","163,150",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,"60,010",2.3,,,,,27.70,"57,610",1.7,16.92,19.46,23.89,30.40,41.05,"35,190","40,470","49,690","63,240","85,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,"285,910",0.5,,,,,*,"106,690",0.5,*,*,*,*,*,"64,690","80,290","101,320","128,740","158,770",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,"167,060",0.2,,,,,55.38,"115,180",0.4,29.33,37.02,48.05,63.47,94.43,"61,000","77,010","99,940","132,010","196,420",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,"50,180",1.3,,,,,47.99,"99,820",0.7,23.39,30.99,42.85,57.46,74.37,"48,650","64,460","89,130","119,520","154,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9040,Architectural and Engineering Managers,broad,"197,180",1.3,,,,,78.52,"163,310",0.3,49.26,61.74,76.88,90.93,106.51,"102,450","128,420","159,920","189,130","221,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,"197,180",1.3,,,,,78.52,"163,310",0.3,49.26,61.74,76.88,90.93,106.51,"102,450","128,420","159,920","189,130","221,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9050,Food Service Managers,broad,"231,100",1.6,,,,,32.27,"67,130",0.8,18.62,23.13,29.48,37.24,48.33,"38,740","48,110","61,310","77,450","100,520",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,"231,100",1.6,,,,,32.27,"67,130",0.8,18.62,23.13,29.48,37.24,48.33,"38,740","48,110","61,310","77,450","100,520",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9070,Entertainment and Recreation Managers,broad,"27,750",2.1,,,,,39.68,"82,530",1.7,19.02,24.84,34.34,47.21,63.60,"39,560","51,660","71,420","98,190","132,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,"4,800",2.2,,,,,46.07,"95,830",1.1,23.90,29.77,38.80,55.19,78.46,"49,710","61,920","80,710","114,790","163,190",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,"22,950",2.7,,,,,38.34,"79,750",1.8,18.44,24.03,32.32,45.31,62.52,"38,350","49,980","67,220","94,250","130,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9080,Lodging Managers,broad,"39,870",2.1,,,,,35.21,"73,230",1.7,17.72,22.60,29.76,40.21,58.86,"36,860","47,000","61,910","83,630","122,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,"39,870",2.1,,,,,35.21,"73,230",1.7,17.72,22.60,29.76,40.21,58.86,"36,860","47,000","61,910","83,630","122,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9110,Medical and Health Services Managers,broad,"476,750",0.4,,,,,61.53,"127,980",0.4,30.82,39.15,50.40,68.84,100.96,"64,100","81,430","104,830","143,200","209,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,"476,750",0.4,,,,,61.53,"127,980",0.4,30.82,39.15,50.40,68.84,100.96,"64,100","81,430","104,830","143,200","209,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9120,Natural Sciences Managers,broad,"82,570",1.4,,,,,78.66,"163,610",1.6,35.45,49.90,69.44,101.12,#,"73,730","103,780","144,440","210,330",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,"82,570",1.4,,,,,78.66,"163,610",1.6,35.45,49.90,69.44,101.12,#,"73,730","103,780","144,440","210,330",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9130,Postmasters and Mail Superintendents,broad,"13,460",0.0,,,,,40.48,"84,190",0.0,36.01,36.74,39.79,43.87,48.24,"74,900","76,420","82,760","91,250","100,340",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,"13,460",0.0,,,,,40.48,"84,190",0.0,36.01,36.74,39.79,43.87,48.24,"74,900","76,420","82,760","91,250","100,340",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9140,"Property, Real Estate, and Community Association Managers",broad,"261,120",1.3,,,,,36.59,"76,110",1.3,16.93,21.83,29.17,40.48,62.45,"35,210","45,400","60,670","84,200","129,900",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,"261,120",1.3,,,,,36.59,"76,110",1.3,16.93,21.83,29.17,40.48,62.45,"35,210","45,400","60,670","84,200","129,900",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9150,Social and Community Service Managers,broad,"162,880",1.2,,,,,38.13,"79,310",0.6,22.49,28.17,35.69,45.87,59.29,"46,770","58,590","74,240","95,420","123,320",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,"162,880",1.2,,,,,38.13,"79,310",0.6,22.49,28.17,35.69,45.87,59.29,"46,770","58,590","74,240","95,420","123,320",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9160,Emergency Management Directors,broad,"11,290",1.5,,,,,42.74,"88,890",0.7,22.56,28.60,38.07,51.06,71.09,"46,920","59,480","79,180","106,200","147,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,"11,290",1.5,,,,,42.74,"88,890",0.7,22.56,28.60,38.07,51.06,71.09,"46,920","59,480","79,180","106,200","147,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9170,Personal Service Managers,broad,"22,520",3.0,,,,,36.18,"75,250",1.6,17.79,22.93,29.86,41.49,58.76,"37,010","47,700","62,120","86,310","122,220",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,"13,680",3.3,,,,,40.76,"84,770",1.5,21.11,25.72,34.67,47.07,63.95,"43,910","53,490","72,110","97,910","133,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9179,"Personal Service Managers, All Other",detailed,"8,840",9.4,,,,,29.09,"60,510",2.7,16.83,19.40,26.97,34.30,46.60,"35,010","40,350","56,090","71,350","96,930",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9190,Miscellaneous Managers,broad,"543,290",1.0,,,,,67.88,"141,190",0.5,30.47,44.64,61.84,81.04,105.07,"63,380","92,840","128,620","168,570","218,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,"543,290",1.0,,,,,67.88,"141,190",0.5,30.47,44.64,61.84,81.04,105.07,"63,380","92,840","128,620","168,570","218,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,"9,677,720",0.7,,,,,41.39,"86,080",0.3,20.55,27.33,36.95,49.14,64.66,"42,750","56,840","76,850","102,210","134,480",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1000,Business Operations Specialists,minor,"6,660,810",0.7,,,,,40.04,"83,280",0.2,20.05,26.61,36.56,48.78,63.59,"41,710","55,360","76,050","101,460","132,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"13,130",5.0,,,,,57.74,"120,100",4.1,21.72,30.25,39.68,77.57,#,"45,180","62,910","82,530","161,340",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"13,130",5.0,,,,,57.74,"120,100",4.1,21.72,30.25,39.68,77.57,#,"45,180","62,910","82,530","161,340",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,broad,"464,880",1.3,,,,,36.13,"75,140",0.3,19.74,24.91,32.51,43.71,55.95,"41,060","51,820","67,620","90,920","116,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,"464,880",1.3,,,,,36.13,"75,140",0.3,19.74,24.91,32.51,43.71,55.95,"41,060","51,820","67,620","90,920","116,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"296,700",1.0,,,,,35.25,"73,320",0.3,22.24,27.54,34.63,40.75,49.27,"46,250","57,290","72,040","84,750","102,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"285,270",1.0,,,,,35.28,"73,380",0.3,22.14,27.43,34.73,40.99,49.34,"46,040","57,050","72,230","85,250","102,630",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,"11,430",5.2,,,,,34.42,"71,580",0.7,24.01,29.32,33.36,38.75,45.40,"49,940","60,980","69,380","80,590","94,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1040,Compliance Officers,broad,"359,640",1.6,,,,,37.01,"76,980",0.7,19.74,25.24,34.47,46.66,56.76,"41,050","52,490","71,690","97,050","118,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,"359,640",1.6,,,,,37.01,"76,980",0.7,19.74,25.24,34.47,46.66,56.76,"41,050","52,490","71,690","97,050","118,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1050,Cost Estimators,broad,"225,310",1.0,,,,,36.89,"76,740",0.5,20.25,25.52,34.23,44.91,57.98,"42,110","53,080","71,200","93,420","120,600",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,"225,310",1.0,,,,,36.89,"76,740",0.5,20.25,25.52,34.23,44.91,57.98,"42,110","53,080","71,200","93,420","120,600",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1070,Human Resources Workers,broad,"898,110",1.0,,,,,35.61,"74,060",0.4,18.90,23.78,31.25,43.19,57.35,"39,320","49,450","65,000","89,840","119,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,"835,360",1.2,,,,,35.13,"73,080",0.4,18.92,23.64,30.88,41.48,55.80,"39,340","49,160","64,240","86,280","116,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,detailed,550,15.4,,,,,26.26,"54,630",6.6,14.36,16.77,23.72,34.95,40.96,"29,880","34,890","49,330","72,690","85,190",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,"62,200",1.8,,,,,42.05,"87,470",0.8,18.70,29.44,39.43,51.07,63.30,"38,900","61,240","82,010","106,230","131,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1080,Logisticians and Project Management Specialists,broad,"1,046,880",1.0,,,,,46.95,"97,660",0.4,24.36,31.51,42.33,58.35,73.25,"50,680","65,540","88,050","121,370","152,350",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,"202,970",0.8,,,,,39.05,"81,220",0.4,22.24,28.86,37.27,47.79,59.64,"46,260","60,020","77,520","99,400","124,050",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,"843,910",1.3,,,,,48.85,"101,610",0.5,25.24,33.16,45.85,60.89,76.51,"52,500","68,980","95,370","126,660","159,150",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1110,Management Analysts,broad,"808,860",0.7,,,,,50.32,"104,660",0.4,26.73,33.81,45.81,61.29,80.60,"55,590","70,310","95,290","127,480","167,650",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,"808,860",0.7,,,,,50.32,"104,660",0.4,26.73,33.81,45.81,61.29,80.60,"55,590","70,310","95,290","127,480","167,650",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1120,"Meeting, Convention, and Event Planners",broad,"112,070",2.1,,,,,28.24,"58,750",1.1,15.41,19.24,25.27,33.76,44.66,"32,050","40,030","52,560","70,230","92,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,"112,070",2.1,,,,,28.24,"58,750",1.1,15.41,19.24,25.27,33.76,44.66,"32,050","40,030","52,560","70,230","92,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1130,Fundraisers,broad,"94,630",2.4,,,,,32.06,"66,670",0.8,18.12,22.56,29.42,38.57,49.39,"37,700","46,930","61,190","80,230","102,740",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,"94,630",2.4,,,,,32.06,"66,670",0.8,18.12,22.56,29.42,38.57,49.39,"37,700","46,930","61,190","80,230","102,740",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"93,550",1.2,,,,,36.50,"75,920",0.5,20.31,25.20,32.59,43.14,56.28,"42,250","52,410","67,780","89,740","117,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"93,550",1.2,,,,,36.50,"75,920",0.5,20.31,25.20,32.59,43.14,56.28,"42,250","52,410","67,780","89,740","117,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1150,Training and Development Specialists,broad,"367,180",1.0,,,,,33.59,"69,870",0.5,16.80,22.35,30.33,40.35,52.18,"34,950","46,480","63,080","83,920","108,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,"367,180",1.0,,,,,33.59,"69,870",0.5,16.80,22.35,30.33,40.35,52.18,"34,950","46,480","63,080","83,920","108,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1160,Market Research Analysts and Marketing Specialists,broad,"798,620",1.3,,,,,37.92,"78,880",0.4,18.40,24.03,32.80,47.60,63.39,"38,280","49,980","68,230","99,000","131,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,"798,620",1.3,,,,,37.92,"78,880",0.4,18.40,24.03,32.80,47.60,63.39,"38,280","49,980","68,230","99,000","131,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1190,Miscellaneous Business Operations Specialists,broad,"1,081,230",0.8,,,,,39.75,"82,670",0.3,19.38,26.31,36.53,48.60,63.11,"40,310","54,720","75,990","101,090","131,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,"1,081,230",0.8,,,,,39.75,"82,670",0.3,19.38,26.31,36.53,48.60,63.11,"40,310","54,720","75,990","101,090","131,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2000,Financial Specialists,minor,"3,016,910",0.7,,,,,44.37,"92,290",0.5,21.63,28.45,37.59,49.92,72.26,"44,990","59,180","78,180","103,830","150,290",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2010,Accountants and Auditors,broad,"1,402,420",0.5,,,,,41.70,"86,740",0.4,23.35,29.29,37.50,48.63,63.79,"48,560","60,920","78,000","101,150","132,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,"1,402,420",0.5,,,,,41.70,"86,740",0.4,23.35,29.29,37.50,48.63,63.79,"48,560","60,920","78,000","101,150","132,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,broad,"59,970",2.4,,,,,38.68,"80,460",7.3,17.16,22.37,29.60,39.88,56.54,"35,700","46,530","61,560","82,950","117,600",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,detailed,"59,970",2.4,,,,,38.68,"80,460",7.3,17.16,22.37,29.60,39.88,56.54,"35,700","46,530","61,560","82,950","117,600",,
