Jobs Lost,Jobs Remaining,OCC_CODE,OCC_TITLE,TOT_EMP,dexterity,explanation,group,solo,vulnerability
180861.40000000002,8862208.6,29-0000,Healthcare Practitioners and Technical Occupations,9043070.0,0.6,"Healthcare Practitioners and Technical Occupations require a high level of manual dexterity (60%) for tasks such as surgery, physical examinations, and administering treatments. While there is some solo computer work involved (20%), such as data entry and research, a significant portion of the job also involves group collaboration and communication (20%) with patients and other healthcare professionals. The intrinsic technological vulnerability is low (10%) due to the high demand for human touch, empathy, and judgement in healthcare.",0.2,0.2,0.1
149131.75,5816138.25,29-1000,Healthcare Diagnosing or Treating Practitioners,5965270.0,0.45,"Healthcare diagnosing or treating practitioners require a high level of manual dexterity (45%) for tasks such as surgery, physical examination, and administering treatments. They also spend a significant amount of time (30%) in group collaboration and communication, discussing patient care with other healthcare professionals and communicating with patients and their families. Solo computer work, such as updating patient records or researching medical literature, accounts for about 25% of their work. The intrinsic technological vulnerability is low (10%) because the human touch, empathy, and judgement are critical in healthcare, and it is unlikely that patients would accept being diagnosed or treated solely by AI or robots.",0.3,0.25,0.1
147480.0,2802120.0,29-2000,Health Technologists and Technicians,2949600.0,0.45,"Health Technologists and Technicians require a significant amount of manual dexterity for tasks such as drawing blood, operating medical equipment, and performing other hands-on healthcare procedures. This accounts for the high dexterity score. They also spend a portion of their time on solo computer work, such as entering patient data into electronic health records. However, a significant part of their work also involves face-to-face interactions with patients, explaining procedures, and working with other healthcare professionals, hence the group collaboration score. The vulnerability score is relatively low because healthcare is a field that requires a high degree of human touch, empathy, and judgement, which are currently beyond the capabilities of AI and machines.",0.3,0.25,0.2
4807.5,123392.5,29-9000,Other Healthcare Practitioners and Technical Occupations,128200.0,0.45,"The occupation code 29-9000 includes a variety of healthcare practitioners and technical occupations. These jobs often require a high level of manual dexterity (45%) for tasks such as administering treatments or operating medical equipment. A significant portion of the work (25%) can be done solo, such as record keeping or analyzing medical data, which could potentially be automated. However, a substantial part of the job (30%) involves group collaboration and communication, such as discussing patient care with other healthcare professionals or educating patients, which is less likely to be automated. Given the high demand for human interaction and judgment in healthcare, the intrinsic technological vulnerability is relatively low (15%). Despite advancements in AI, the complex and unpredictable nature of healthcare work makes it less susceptible to automation.",0.3,0.25,0.15
101884.65000000001,6690425.35,31-0000,Healthcare Support Occupations,6792310.0,0.65,"Healthcare Support Occupations involve a high degree of physical contact and dexterity, such as assisting patients with mobility, providing basic care, and performing certain medical procedures. This accounts for the high dexterity score of 0.65. Solo computer work is relatively low at 0.15, as these roles often require direct patient interaction rather than isolated computer tasks. Group collaboration and communication is also significant at 0.20, due to the need for coordination with other healthcare professionals and communication with patients and their families. The vulnerability to AI displacement is low at 0.10, as the human touch and judgement are critical in healthcare support roles, and cannot be easily replaced by AI or machines.",0.2,0.15,0.1
48897.0,4840803.0,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",4889700.0,0.6,"The occupation code 31-1100 includes roles such as Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides. These roles require a high level of physical dexterity (60%) as they involve tasks such as assisting patients with daily activities, moving patients, and performing basic health-related services. A small portion of the work (10%) can be done solo, such as updating patient records. A significant part of the job (30%) involves group collaboration and communication, as these professionals often work in teams and need to communicate effectively with patients and their families. The intrinsic technological vulnerability is low (10%) as these roles require a human touch and emotional intelligence that cannot be replaced by AI or machines. Therefore, the risk of job displacement due to AI is relatively low.",0.3,0.1,0.1
2820.9,185239.1,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,188060.0,0.65,"Occupational Therapy and Physical Therapist Assistants and Aides require a high level of manual dexterity and physical contact with patients (65%). This includes tasks such as assisting with exercises, providing therapeutic treatments, and helping patients with daily activities. These tasks are difficult to automate due to the need for human touch, empathy, and judgement. A smaller portion of their work involves solo computer work (15%), such as updating patient records or researching treatment plans. Group collaboration and communication (20%) is also a significant part of their work, as they often work in teams with other healthcare professionals and communicate directly with patients and their families. The intrinsic technological vulnerability is low (10%) because the nature of the work requires a high level of human interaction and care, which cannot be easily replaced by AI or machines.",0.2,0.15,0.1
34291.0,1680259.0,31-9000,Other Healthcare Support Occupations,1714550.0,0.6,"Other Healthcare Support Occupations (31-9000) involve a significant amount of physical contact and dexterity, such as assisting patients with mobility, performing therapeutic procedures, and handling medical equipment, which is difficult to automate. Therefore, a high percentage (60%) of their work involves high dexterity physical contact. Solo computer work is minimal (10%) as these roles are not typically desk jobs. Group collaboration and communication is essential (30%) as they often work in teams and need to communicate effectively with patients and other healthcare professionals. The intrinsic technological vulnerability is relatively low (20%) because the human touch and interaction in healthcare support is crucial and cannot be fully replaced by AI or machines.",0.3,0.1,0.2
103128.3,3334481.7,33-0000,Protective Service Occupations,3437610.0,0.35,"Protective Service Occupations involve a significant amount of human interaction and decision-making, which is why the group collaboration and communication percentage is high. These jobs also require a certain level of physical dexterity, such as in situations of law enforcement or firefighting. Solo computer work is relatively low as these jobs are not typically desk jobs. The vulnerability to AI displacement is relatively low due to the high demand for human judgment, interaction, and physical presence in these roles.",0.5,0.15,0.2
10639.8,344020.2,33-1000,Supervisors of Protective Service Workers,354660.0,0.2,"Supervisors of Protective Service Workers require a significant amount of group collaboration and communication, as they need to coordinate and manage teams, which is difficult to automate. They also require some level of physical dexterity for tasks such as equipment handling and potentially intervening in emergency situations. Solo computer work might include tasks such as scheduling, reporting, and other administrative tasks. The intrinsic technological vulnerability is relatively low as the nature of the job requires human judgement, decision-making, and physical presence.",0.6,0.2,0.15
3382.5,334867.5,33-2000,Firefighting and Prevention Workers,338250.0,0.6,"Firefighting and Prevention Workers require a high level of physical dexterity (60%) to perform tasks such as operating firefighting equipment, rescuing individuals, and physically combating fires. Solo computer work is minimal (10%) as it may only involve tasks such as report writing or equipment checks. Group collaboration and communication (30%) is essential in this role for tasks such as team-based firefighting, training, and community education. The intrinsic technological vulnerability is low (10%) as the physical and unpredictable nature of firefighting, as well as the human judgment required, makes it less likely to be fully automated.",0.3,0.1,0.1
34832.4,1126247.6,33-3000,Law Enforcement Workers,1161080.0,0.35,"Law enforcement work involves a significant amount of physical activity, including patrolling, apprehending suspects, and conducting searches, which accounts for the high dexterity score. Solo computer work, such as report writing and data entry, is also a part of the job but not as significant. The majority of the work involves group collaboration and communication, such as coordinating with other officers, interacting with the public, and testifying in court. The vulnerability score is relatively low because there is a strong intrinsic need for humans in law enforcement, both for their judgment in complex and unpredictable situations and for their role in community relations.",0.5,0.15,0.2
31672.4,1551947.6,33-9000,Other Protective Service Workers,1583620.0,0.6,"The occupation code 33-9000 refers to Other Protective Service Workers. This includes a wide range of jobs that require a high level of physical dexterity and coordination, such as security guards, lifeguards, and crossing guards. These jobs often require a significant amount of physical activity, hence the high dexterity score of 0.6. Solo computer work is minimal in these roles, hence the low score of 0.1. However, these roles often require interaction with the public or other team members, hence the group collaboration score of 0.3. The vulnerability score is relatively low at 0.2, as these roles often require a human presence for effective operation, and the judgement required in many of these roles is difficult to automate.",0.3,0.1,0.2
250292.40000000002,12264327.6,35-0000,Food Preparation and Serving Related Occupations,12514620.0,0.65,"Food Preparation and Serving Related Occupations require a high level of dexterity (65%) as they involve tasks such as cooking, cutting, and serving which require fine motor skills and coordination. Only a small portion of the work (5%) can be done solo on a computer, such as inventory management or scheduling. A significant portion of the work (30%) involves group collaboration and communication, such as interacting with customers and coordinating with other staff. The vulnerability to AI displacement is estimated at 40% due to the potential for automation in areas like order taking and food preparation, but the need for human interaction and dexterity in many tasks still remains.",0.3,0.05,0.4
39894.299999999996,1289915.7,35-1000,Supervisors of Food Preparation and Serving Workers,1329810.0,0.4,"Supervisors of Food Preparation and Serving Workers require a high level of dexterity (40%) for tasks such as food preparation and handling equipment. Solo computer work is minimal (10%) as most tasks are hands-on or involve direct interaction with staff or customers. Group collaboration and communication is significant (50%) due to the need for coordinating with staff, training, and customer service. The vulnerability to AI displacement is relatively low (30%) because the role requires a high level of human interaction and judgment, which are difficult to automate.",0.5,0.1,0.3
246516.9,3275153.1,35-2000,Cooks and Food Preparation Workers,3521670.0,0.6,"Cooks and Food Preparation Workers require a high level of dexterity (60%) for tasks such as chopping, stirring, and plating. Solo computer work is minimal (10%) as most tasks are hands-on. There is a moderate level of group collaboration (30%) in coordinating with other kitchen staff and understanding orders. The vulnerability to AI is relatively high (70%) as many cooking tasks could be automated, though the fine dexterity and taste-testing aspects of the job may still require human involvement.",0.3,0.1,0.7
126184.0,6183016.0,35-3000,Food and Beverage Serving Workers,6309200.0,0.65,"Food and Beverage Serving Workers require a high level of dexterity (65%) for tasks such as preparing food, serving customers, and cleaning. Solo computer work is minimal (5%) as most tasks are hands-on and require human interaction. Group collaboration and communication is significant (30%) due to the need for coordination among staff and interaction with customers. The vulnerability to AI displacement is moderate (40%) as while some tasks can be automated, the human touch in service industries is often preferred by customers.",0.3,0.05,0.4
